sep=,
DeviceTag:,Xsens
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2024-04-03_10:37:15_065 CEST
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
159,153776670,0.922832,-0.013659,-0.035856,0.383288,-0.119530,-0.725336,0.233997
160,153793337,0.922776,-0.013637,-0.035703,0.383436,-0.156005,-0.634603,0.274577
161,153810004,0.922655,-0.013879,-0.035794,0.383710,-0.064409,-0.580367,0.246995
162,153826671,0.922500,-0.014348,-0.035563,0.384087,0.015924,-0.609692,0.254285
163,153843338,0.922382,-0.014701,-0.035046,0.384404,-0.038115,-0.741977,0.222985
164,153860005,0.922329,-0.014875,-0.034443,0.384579,-0.205353,-0.852475,0.297995
165,153876672,0.922327,-0.015047,-0.034850,0.384540,-0.096819,-0.729910,0.275201
166,153893339,0.922299,-0.015431,-0.034863,0.384593,0.077425,-0.625526,0.196044
167,153910006,0.922247,-0.015665,-0.034441,0.384745,0.037171,-0.656888,0.226501
168,153926673,0.922177,-0.015994,-0.033931,0.384945,0.022008,-0.672844,0.244403
169,153943340,0.922087,-0.016237,-0.033421,0.385195,-0.003072,-0.739489,0.234313
170,153960007,0.921956,-0.016364,-0.032862,0.385550,-0.020574,-0.688908,0.233334
171,153976674,0.921777,-0.016517,-0.032281,0.386020,-0.091743,-0.726643,0.226447
172,153993341,0.921595,-0.016712,-0.031913,0.386478,-0.072946,-0.694725,0.295930
173,154010008,0.921498,-0.017031,-0.031408,0.386736,-0.051290,-0.704722,0.255864
174,154026675,0.921464,-0.017334,-0.030842,0.386850,-0.120972,-0.810299,0.282996
175,154043342,0.921454,-0.017434,-0.030440,0.386900,-0.163669,-0.709162,0.251581
176,154060009,0.921374,-0.017767,-0.030160,0.387097,-0.159381,-0.721307,0.291948
177,154076676,0.921231,-0.018099,-0.030152,0.387423,-0.035611,-0.795704,0.253465
178,154093343,0.921132,-0.018153,-0.029938,0.387673,-0.007749,-0.802204,0.223747
179,154110010,0.921100,-0.018061,-0.029837,0.387760,-0.093857,-0.742628,0.196472
180,154126677,0.921096,-0.018192,-0.029809,0.387766,-0.069932,-0.660389,0.172869
181,154143344,0.921058,-0.018209,-0.029547,0.387876,-0.077450,-0.619198,0.223330
182,154160011,0.920950,-0.018473,-0.029307,0.388137,-0.119320,-0.766969,0.298724
183,154176678,0.920884,-0.018480,-0.029410,0.388286,-0.067092,-0.776614,0.287682
184,154193345,0.920926,-0.018488,-0.029389,0.388188,-0.020393,-0.746367,0.255673
185,154210012,0.921057,-0.018302,-0.029235,0.387898,-0.114156,-0.672298,0.254986
186,154226679,0.921180,-0.018368,-0.029219,0.387604,-0.163607,-0.629841,0.265588
