sep=,
DeviceTag:,Xsens
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2024-04-03_10:38:19_179 CEST
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
143,217620673,0.927423,0.226174,0.006431,0.297810,-0.142915,-0.651405,0.242164
144,217637340,0.927418,0.226142,0.006412,0.297851,-0.105176,-0.686697,0.266309
145,217654007,0.927422,0.226031,0.006396,0.297922,-0.184620,-0.715216,0.237500
146,217670674,0.927440,0.225942,0.006327,0.297936,-0.142618,-0.727103,0.233870
147,217687341,0.927432,0.225944,0.006322,0.297957,-0.135430,-0.716785,0.211882
148,217704008,0.927423,0.225962,0.006319,0.297972,-0.147819,-0.693515,0.235403
149,217720675,0.927405,0.225955,0.006258,0.298037,-0.145107,-0.671282,0.192535
150,217737342,0.927359,0.225958,0.006254,0.298177,-0.195338,-0.709400,0.198174
151,217754009,0.927296,0.226014,0.006210,0.298330,-0.171733,-0.722979,0.221241
152,217770676,0.927255,0.226071,0.006183,0.298415,-0.141721,-0.706709,0.255720
153,217787343,0.927203,0.226167,0.006179,0.298505,-0.118649,-0.711132,0.230843
154,217804010,0.927163,0.226275,0.006192,0.298549,-0.125047,-0.709688,0.235229
155,217820677,0.927105,0.226404,0.006210,0.298630,-0.134324,-0.705716,0.164871
156,217837344,0.927028,0.226649,0.006275,0.298679,-0.163856,-0.688226,0.194105
157,217854011,0.926958,0.226908,0.006417,0.298696,-0.256353,-0.688893,0.244418
158,217870678,0.926943,0.226994,0.006361,0.298679,-0.216336,-0.724707,0.256001
159,217887345,0.926920,0.227040,0.006400,0.298715,-0.193510,-0.702423,0.284032
160,217904012,0.926923,0.226993,0.006364,0.298742,-0.127604,-0.723720,0.218076
161,217920679,0.926894,0.227148,0.006515,0.298712,-0.134609,-0.667078,0.205658
162,217937346,0.926880,0.227217,0.006642,0.298701,-0.180260,-0.599594,0.273491
163,217954013,0.926881,0.227168,0.006764,0.298731,-0.198134,-0.685287,0.219803
164,217970680,0.926864,0.227227,0.006867,0.298737,-0.158585,-0.697041,0.231623
165,217987347,0.926856,0.227222,0.006936,0.298765,-0.191904,-0.638982,0.266595
166,218004014,0.926870,0.227124,0.006847,0.298798,-0.159851,-0.733449,0.193985
167,218020681,0.926841,0.227212,0.006842,0.298821,-0.158850,-0.685438,0.196616
168,218037348,0.926814,0.227245,0.006858,0.298877,-0.186457,-0.658666,0.204808
169,218054015,0.926784,0.227148,0.006798,0.299048,-0.164192,-0.694210,0.216466
170,218070682,0.926763,0.227134,0.006797,0.299123,-0.167990,-0.712906,0.290927
171,218087349,0.926759,0.227031,0.006761,0.299213,-0.165288,-0.698566,0.278656
172,218104016,0.926787,0.226895,0.006722,0.299232,-0.146774,-0.673361,0.237734
173,218120683,0.926797,0.226766,0.006689,0.299299,-0.164301,-0.689270,0.208637
174,218137350,0.926790,0.226680,0.006647,0.299387,-0.168950,-0.697053,0.207757
175,218154017,0.926771,0.226670,0.006670,0.299454,-0.176266,-0.685134,0.225215
176,218170684,0.926778,0.226484,0.006603,0.299575,-0.185538,-0.749391,0.249017
177,218187351,0.926798,0.226351,0.006577,0.299611,-0.083016,-0.715999,0.210382
